"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
141,"Tigar, Jon S.",2012-06-11,2012-12-21,"unanimous consent","Barack Obama",2009-01-01,2013-01-18,2018-02-23,4712-12-31,"N.D. Cal.","District",48
142,"Chen, Pamela K.",2013-01-03,2013-03-04,"voice vote","Barack Obama",2009-01-01,2013-03-05,2018-02-23,4712-12-31,"E.D.N.Y.","District",50
143,"Failla, Katherine Polk",2013-01-03,2013-03-04,"91–0","Barack Obama",2009-01-01,2013-03-05,2018-02-23,4712-12-31,"S.D.N.Y.","District",50
144,"Gordon, Andrew Patrick",2013-01-03,2013-03-11,"voice vote","Barack Obama",2009-01-01,2013-03-12,2018-02-23,4712-12-31,"D. Nev.","District",50
145,"Jackson, Ketanji Brown",2013-01-03,2013-03-22,"voice vote","Barack Obama",2009-01-01,2013-03-26,2018-02-23,4712-12-31,"D.D.C.","District",50
146,"Moore, Raymond P.",2013-01-03,2013-03-22,"voice vote","Barack Obama",2009-01-01,2013-03-26,2018-02-23,4712-12-31,"D. Colo.","District",50
147,"Nunley, Troy L.",2013-01-03,2013-03-22,"voice vote","Barack Obama",2009-01-01,2013-03-26,2018-02-23,4712-12-31,"E.D. Cal.","District",50
148,"O'Connell, Beverly Reid",2013-01-03,2013-04-15,"92–0","Barack Obama",2009-01-01,2013-04-30,2017-10-08,4712-12-31,"C.D. Cal.","District",51
149,"Torres, Analisa",2013-01-03,2013-04-18,"voice vote","Barack Obama",2009-01-01,2013-04-23,2018-02-23,4712-12-31,"S.D.N.Y.","District",51
150,"Watson, Derrick Kahala",2013-01-03,2013-04-18,"94–0","Barack Obama",2009-01-01,2013-04-23,2018-02-23,4712-12-31,"D. Haw.","District",51
151,"Dick, Shelly Deckert",2013-01-03,2013-05-09,"voice vote","Barack Obama",2009-01-01,2013-05-10,2018-02-23,4712-12-31,"M.D. La.","District",52
152,"Roman, Nelson S.",2013-01-03,2013-05-09,"97–0","Barack Obama",2009-01-01,2013-05-13,2018-02-23,4712-12-31,"S.D.N.Y.","District",52
153,"Orrick III, William H.",2013-01-03,2013-05-15,"56–41","Barack Obama",2009-01-01,2013-05-16,2018-02-23,4712-12-31,"N.D. Cal.","District",52
154,"Chappell, Sheri Polster",2013-01-03,2013-05-20,"90–0","Barack Obama",2009-01-01,2013-05-22,2018-02-23,4712-12-31,"M.D. Fla.","District",52
155,"McShane, Michael J.",2013-01-03,2013-05-20,"voice vote","Barack Obama",2009-01-01,2013-05-30,2018-02-23,4712-12-31,"D. Ore.","District",52
156,"Quiñones Alejandro, Nitza I.",2013-01-03,2013-06-13,"voice vote","Barack Obama",2009-01-01,2013-06-19,2018-02-23,4712-12-31,"E.D. Pa.","District",53
157,"Schmehl, Jeffrey L.",2013-01-03,2013-06-13,"100–0","Barack Obama",2009-01-01,2013-06-25,2018-02-23,4712-12-31,"E.D. Pa.","District",53
158,"Restrepo, Luis Felipe",2013-01-03,2013-06-17,"voice vote","Barack Obama",2009-01-01,2013-06-19,2016-01-13,NA,"E.D. Pa.","District",53
159,"Gonzales, Kenneth John",2013-01-03,2013-06-17,"89–0","Barack Obama",2009-01-01,2013-08-09,2018-02-23,4712-12-31,"D.N.M.","District",55
160,"Dorsey, Jennifer A.",2013-01-03,2013-07-09,"54–41","Barack Obama",2009-01-01,2013-07-09,2018-02-23,4712-12-31,"D. Nev.","District",54
161,"Caproni, Valerie E.",2013-01-03,2013-09-09,"73–24","Barack Obama",2009-01-01,2013-12-02,2018-02-23,4712-12-31,"S.D.N.Y.","District",59
162,"Broderick, Vernon S.",2013-04-15,2013-09-09,"voice vote","Barack Obama",2009-01-01,2013-09-10,2018-02-23,4712-12-31,"S.D.N.Y.","District",56
163,"Bruce, Colin S.",2013-05-06,2013-10-07,"96–0","Barack Obama",2009-01-01,2013-10-08,2018-02-23,4712-12-31,"C.D. Ill.","District",57
